product_name,product_price,product_url
"NOROO 美紋膠帶 20mm x 20m, 5個",$160,https://www.tw.coupang.com/products/NOROO-%E7%BE%8E%E7%B4%8B%E8%86%A0%E5%B8%B6-20mm-x-20m-21007969951094?itemId=21022069929153&vendorItemId=21089117029131&sourceType=search&rank=&searchId=92cba582de0d4e7490efc0d4886d04e2&q=%E7%BE%8E%E7%B4%8B%E8%86%A0%E5%B8%B6
"Tamsaa 美紋膠帶 48mm x 20m, 3個",$133,https://www.tw.coupang.com/products/Tamsaa-%E7%BE%8E%E7%B4%8B%E8%86%A0%E5%B8%B6-48mm-x-20m-21007773823398?itemId=21020994396159&vendorItemId=21088058737025&sourceType=search&rank=1&searchId=92cba582de0d4e7490efc0d4886d04e2&q=%E7%BE%8E%E7%B4%8B%E8%86%A0%E5%B8%B6
"iQIHAN 美紋紙膠帶 50mm*20m, 白色, 16捲",$635,https://www.tw.coupang.com/products/iQIHAN-%E7%BE%8E%E7%B4%8B%E7%B4%99%E8%86%A0%E5%B8%B6-50mm*20m-168983156178945?itemId=433864359002126&vendorItemId=433864359002122&sourceType=search&rank=2&searchId=92cba582de0d4e7490efc0d4886d04e2&q=%E7%BE%8E%E7%B4%8B%E8%86%A0%E5%B8%B6
"Shin Hung 美紋膠帶 48mm x 40m, 5個",$288,https://www.tw.coupang.com/products/Shin-Hung-%E7%BE%8E%E7%B4%8B%E8%86%A0%E5%B8%B6-48mm-x-40m-21007969938497?itemId=21022069864374&vendorItemId=21089867781371&sourceType=search&rank=3&searchId=92cba582de0d4e7490efc0d4886d04e2&q=%E7%BE%8E%E7%B4%8B%E8%86%A0%E5%B8%B6
"iQIHAN 美紋紙膠帶 50mm*20m, 白色, 20捲",$835,https://www.tw.coupang.com/products/iQIHAN-%E7%BE%8E%E7%B4%8B%E7%B4%99%E8%86%A0%E5%B8%B6-50mm*20m-168983156178945?itemId=433864358969349&vendorItemId=433864359002113&sourceType=search&rank=4&searchId=92cba582de0d4e7490efc0d4886d04e2&q=%E7%BE%8E%E7%B4%8B%E8%86%A0%E5%B8%B6
"iQIHAN Color 紙膠帶 20mm*20m, 紅色, 8捲",$226,https://www.tw.coupang.com/products/iQIHAN-Color-%E7%B4%99%E8%86%A0%E5%B8%B6-20mm*20m-168983638556672?itemId=433864614821899&vendorItemId=433864614854661&sourceType=search&rank=5&searchId=92cba582de0d4e7490efc0d4886d04e2&q=%E7%BE%8E%E7%B4%8B%E8%86%A0%E5%B8%B6
"Alpha Gear 現代 TAC YAC 乳白色畫筆+透明漆+砂紙+美紋膠帶套裝, YAC Creamy White, 1組",$406,https://www.tw.coupang.com/products/Alpha-Gear-%E7%8F%BE%E4%BB%A3-TAC-YAC-%E4%B9%B3%E7%99%BD%E8%89%B2%E7%95%AB%E7%AD%86%2B%E9%80%8F%E6%98%8E%E6%BC%86%2B%E7%A0%82%E7%B4%99%2B%E7%BE%8E%E7%B4%8B%E8%86%A0%E5%B8%B6%E5%A5%97%E8%A3%9D-21007771884084?itemId=21020983776138&vendorItemId=21088048522225&sourceType=search&rank=6&searchId=92cba582de0d4e7490efc0d4886d04e2&q=%E7%BE%8E%E7%B4%8B%E8%86%A0%E5%B8%B6
"彗星透明盒膠帶48mm x 50m + 刀具套裝, 1組",$73,https://www.tw.coupang.com/products/%E5%BD%97%E6%98%9F%E9%80%8F%E6%98%8E%E7%9B%92%E8%86%A0%E5%B8%B648mm-x-50m-%2B-%E5%88%80%E5%85%B7%E5%A5%97%E8%A3%9D-21007632331783?itemId=21020259904151&vendorItemId=21087347496586&sourceType=search&rank=7&searchId=92cba582de0d4e7490efc0d4886d04e2&q=%E7%BE%8E%E7%B4%8B%E8%86%A0%E5%B8%B6
"可愛風格紙膠帶組, 1套, 美好的一天",$252,https://www.tw.coupang.com/products/%E5%8F%AF%E6%84%9B%E9%A2%A8%E6%A0%BC%E7%B4%99%E8%86%A0%E5%B8%B6%E7%B5%84-21006555365348?itemId=21014650856289&vendorItemId=21081892143669&sourceType=search&rank=8&searchId=92cba582de0d4e7490efc0d4886d04e2&q=%E7%BE%8E%E7%B4%8B%E8%86%A0%E5%B8%B6
"Alpha Gear 起亞 SWP 雪白珍珠刷筆 2p + 透明烤漆 + 砂紙 + 美紋膠帶套裝, SWP 雪白珍珠, 1組",$612,https://www.tw.coupang.com/products/Alpha-Gear-%E8%B5%B7%E4%BA%9E-SWP-%E9%9B%AA%E7%99%BD%E7%8F%8D%E7%8F%A0%E5%88%B7%E7%AD%86-2p-%2B-%E9%80%8F%E6%98%8E%E7%83%A4%E6%BC%86-%2B-%E7%A0%82%E7%B4%99-%2B-%E7%BE%8E%E7%B4%8B%E8%86%A0%E5%B8%B6%E5%A5%97%E8%A3%9D-21007771884238?itemId=21020983776730&vendorItemId=21088048522733&sourceType=search&rank=9&searchId=92cba582de0d4e7490efc0d4886d04e2&q=%E7%BE%8E%E7%B4%8B%E8%86%A0%E5%B8%B6
